trial_number,state,value,values,datetime_start,datetime_complete,duration_seconds,params,user_attrs
0,COMPLETE,5.531082030162886,"[5.531082030162886, 0.0]",2026-02-18T22:16:17.423838,2026-02-18T22:16:17.472180,0.048342,"{""entry_threshold"": 0.65, ""exit_threshold"": 0.6, ""stop_loss_atr"": 4.0, ""take_profit_ratio"": 3.5, ""position_sizing_method"": ""fixed"", ""kelly_fraction"": 0.7, ""max_position_size"": 0.4, ""cooldown_bars"": 15, ""trailing_stop_activation"": 0.01}","{""avg_loss"": 0.0, ""avg_win"": 0.0013083467493690767, ""cagr"": 0.7746334191455246, ""calmar_ratio"": 0.0, ""expectancy"": 0.0013083467493690767, ""max_drawdown"": 0.0, ""max_drawdown_duration"": 0.0, ""profit_factor"": 0.0, ""sharpe_ratio"": 5.531082030162886, ""sortino_ratio"": 0.0, ""sqn"": 3.8321697795533542, ""total_return"": 0.08089430501784722, ""total_trades"": 6.0, ""win_rate"": 1.0}"
1,COMPLETE,0.0,"[0.0, 0.0]",2026-02-18T22:16:17.479281,2026-02-18T22:16:17.520111,0.04083,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.55, ""stop_loss_atr"": 1.5, ""take_profit_ratio"": 1.5, ""position_sizing_method"": ""probability_scaled"", ""kelly_fraction"": 0.45, ""max_position_size"": 0.2, ""cooldown_bars"": 15, ""trailing_stop_activation"": 0.02}","{""avg_loss"": 0.0, ""avg_win"": 0.0, ""cagr"": 0.0, ""calmar_ratio"": 0.0, ""expectancy"": 0.0, ""max_drawdown"": 0.0, ""max_drawdown_duration"": 0.0, ""profit_factor"": 0.0, ""sharpe_ratio"": 0.0, ""sortino_ratio"": 0.0, ""sqn"": 0.0, ""total_return"": 0.0, ""total_trades"": 0.0, ""win_rate"": 0.0}"
2,COMPLETE,2.136837333972506,"[2.136837333972506, 0.042767557544689194]",2026-02-18T22:16:17.525930,2026-02-18T22:16:17.569148,0.043218,"{""entry_threshold"": 0.6, ""exit_threshold"": 0.4, ""stop_loss_atr"": 3.0, ""take_profit_ratio"": 4.5, ""position_sizing_method"": ""probability_scaled"", ""kelly_fraction"": 0.25, ""max_position_size"": 0.4, ""cooldown_bars"": 0, ""trailing_stop_activation"": 0.01}","{""avg_loss"": -0.006858788074293057, ""avg_win"": 0.002993749381780952, ""cagr"": 0.6135058738620245, ""calmar_ratio"": 14.34512301108036, ""expectancy"": 0.0009195309699758976, ""max_drawdown"": -0.042767557544689194, ""max_drawdown_duration"": 23.0, ""profit_factor"": 1.6368139764743648, ""sharpe_ratio"": 2.136837333972506, ""sortino_ratio"": 4.902471340303215, ""sqn"": 0.8313603420392501, ""total_return"": 0.06703115996653142, ""total_trades"": 19.0, ""win_rate"": 0.7894736842105263}"
3,COMPLETE,0.0,"[0.0, 0.0]",2026-02-18T22:16:17.574788,2026-02-18T22:16:17.615240,0.040452,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.6, ""stop_loss_atr"": 4.5, ""take_profit_ratio"": 2.0, ""position_sizing_method"": ""kelly"", ""kelly_fraction"": 0.3, ""max_position_size"": 0.30000000000000004, ""cooldown_bars"": 0, ""trailing_stop_activation"": 0.09999999999999999}","{""avg_loss"": 0.0, ""avg_win"": 0.0, ""cagr"": 0.0, ""calmar_ratio"": 0.0, ""expectancy"": 0.0, ""max_drawdown"": 0.0, ""max_drawdown_duration"": 0.0, ""profit_factor"": 0.0, ""sharpe_ratio"": 0.0, ""sortino_ratio"": 0.0, ""sqn"": 0.0, ""total_return"": 0.0, ""total_trades"": 0.0, ""win_rate"": 0.0}"
4,COMPLETE,-1.0422124805165554,"[-1.0422124805165554, 0.03518724214536606]",2026-02-18T22:16:17.620527,2026-02-18T22:16:17.662084,0.041557,"{""entry_threshold"": 0.6, ""exit_threshold"": 0.5, ""stop_loss_atr"": 2.0, ""take_profit_ratio"": 3.0, ""position_sizing_method"": ""probability_scaled"", ""kelly_fraction"": 0.65, ""max_position_size"": 0.5, ""cooldown_bars"": 20, ""trailing_stop_activation"": 0.060000000000000005}","{""avg_loss"": -0.00646934206168002, ""avg_win"": 0.0034451466596542996, ""cagr"": -0.11021600415941968, ""calmar_ratio"": -3.132271739401846, ""expectancy"": -0.0005206488288794285, ""max_drawdown"": -0.03518724214536606, ""max_drawdown_duration"": 44.0, ""profit_factor"": 0.7988014762879067, ""sharpe_ratio"": -1.0422124805165554, ""sortino_ratio"": -0.5601528645189174, ""sqn"": -0.32758974952739267, ""total_return"": -0.015712076344733483, ""total_trades"": 5.0, ""win_rate"": 0.6}"
5,COMPLETE,0.0,"[0.0, 0.0]",2026-02-18T22:16:17.667346,2026-02-18T22:16:17.707947,0.040601,"{""entry_threshold"": 0.95, ""exit_threshold"": 0.3, ""stop_loss_atr"": 1.5, ""take_profit_ratio"": 1.0, ""position_sizing_method"": ""kelly"", ""kelly_fraction"": 0.7, ""max_position_size"": 0.2, ""cooldown_bars"": 5, ""trailing_stop_activation"": 0.060000000000000005}","{""avg_loss"": 0.0, ""avg_win"": 0.0, ""cagr"": 0.0, ""calmar_ratio"": 0.0, ""expectancy"": 0.0, ""max_drawdown"": 0.0, ""max_drawdown_duration"": 0.0, ""profit_factor"": 0.0, ""sharpe_ratio"": 0.0, ""sortino_ratio"": 0.0, ""sqn"": 0.0, ""total_return"": 0.0, ""total_trades"": 0.0, ""win_rate"": 0.0}"
